id,title,genre_ids,poster_path
762509,Mufasa: El rey león,"[12, 10751, 18]",https://image.tmdb.org/t/p/original/zYrdQFESYc4FU2MM1O4RwL2Km2N.jpg
2062,Ratatouille,"[16, 35, 10751, 14]",https://image.tmdb.org/t/p/original/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
420818,El rey león,"[16, 12, 18, 10751]",https://image.tmdb.org/t/p/original/eGfq90BF8QGCMpncF2ag0lGTgKk.jpg
862,Toy Story (Juguetes),"[16, 12, 10751, 35]",https://image.tmdb.org/t/p/original/jvn7wy3RSNEXnFSXLpH2of2LcV6.jpg
809,Shrek 2,"[16, 10751, 35, 14, 12, 10749]",https://image.tmdb.org/t/p/original/knRt4E8KyfwEv0SVu9LsLvD28IQ.jpg
150689,Cenicienta,"[10749, 14, 10751, 18]",https://image.tmdb.org/t/p/original/zqWF0q31AgZTPDlCEgQlMNopnHy.jpg
863,Toy Story 2: los juguetes vuelven a la carga,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/8OTDKkJv2jXg5ZHKazFxBAttKkR.jpg
931405,"Corre, Tiger, corre","[16, 12, 35, 28, 10751]",https://image.tmdb.org/t/p/original/ilRnmU5JOWnpg8qR6EbI11yiEKR.jpg
438148,Minions: El origen de Gru,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/zCdvIdb6SvoaOzTqCWFQdCEmOXq.jpg
38757,Enredados,"[16, 10751]",https://image.tmdb.org/t/p/original/bFUreK1CxkUwk4y6W2Qoo88l0UF.jpg
14160,Up,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/cy6TJ97pUgjM0I4yhF53duTjvWY.jpg
129,El viaje de Chihiro,"[16, 10751, 14]",https://image.tmdb.org/t/p/original/vlsi5iZcfDChKNGNvRp7Zp3SULH.jpg
12,Buscando a Nemo,"[16, 10751]",https://image.tmdb.org/t/p/original/jPhak722pNGxQIXSEfeWIUqBrO5.jpg
10020,La bella y la bestia,"[10749, 10751, 16, 14]",https://image.tmdb.org/t/p/original/1FxMtEUc6DP1MXsTBftOFaoCVVO.jpg
1280768,Sin tiempo para espiar: Una peli de Una casa de locos,"[16, 28, 12, 35, 10751]",https://image.tmdb.org/t/p/original/eIIklEb7D9MrRxsb4vyXnm08d0G.jpg
508947,Red,"[16, 10751, 35, 14]",https://image.tmdb.org/t/p/original/tYRd7O5Eht4jypJQrMWnCi26880.jpg
269149,Zootrópolis,"[16, 12, 10751, 35]",https://image.tmdb.org/t/p/original/i3WnZpJkQYXXbSGplEGmyoyeskM.jpg
585083,Hotel Transilvania: Transformanía,"[16, 35, 10751, 12, 14]",https://image.tmdb.org/t/p/original/xNF8AxJc966FWk4SYqXxGHaZLHZ.jpg
10192,Shrek: Felices para siempre,"[35, 12, 14, 16, 10751]",https://image.tmdb.org/t/p/original/3MyKXb1ozCfq61tPNKpIggwvP6J.jpg
585083,Hotel Transilvania: Transformanía,"[16, 35, 10751, 12, 14]",https://image.tmdb.org/t/p/original/xNF8AxJc966FWk4SYqXxGHaZLHZ.jpg
1139829,Orión y la oscuridad,"[16, 10751, 35, 14]",https://image.tmdb.org/t/p/original/6cpb2IP2c8gEbS2E2VfLKfx04cP.jpg
447277,La sirenita,"[12, 10751, 14, 10749]",https://image.tmdb.org/t/p/original/mdszPVnIY7cWgbgJ8zbwu1PiU5V.jpg
863,Toy Story 2: los juguetes vuelven a la carga,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/8OTDKkJv2jXg5ZHKazFxBAttKkR.jpg
438148,Minions: El origen de Gru,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/zCdvIdb6SvoaOzTqCWFQdCEmOXq.jpg
1075794,Leo,"[16, 35, 10751]",https://image.tmdb.org/t/p/original/bx3nuzVSyDSrSj0HqE2SFvZEeKT.jpg
10192,Shrek: Felices para siempre,"[35, 12, 14, 16, 10751]",https://image.tmdb.org/t/p/original/3MyKXb1ozCfq61tPNKpIggwvP6J.jpg
1239146,El Pájaro Loco ¡Lío en el campamento!,"[10751, 35, 16]",https://image.tmdb.org/t/p/original/x7QXH6T8oTKlUbKt8TD1rPimzCr.jpg
150689,Cenicienta,"[10749, 14, 10751, 18]",https://image.tmdb.org/t/p/original/zqWF0q31AgZTPDlCEgQlMNopnHy.jpg
425,Ice Age: La edad de hielo,"[16, 35, 10751, 12]",https://image.tmdb.org/t/p/original/9rpdhn7p7mDZW2rUXsINf9c6sR5.jpg
11688,El emperador y sus locuras,"[12, 16, 35, 10751, 14]",https://image.tmdb.org/t/p/original/gkTTj0dKDVGXvZwxa0KpCWcA6k4.jpg
1040148,"Ruby, aventuras de una kraken adolescente","[16, 10751, 14, 35]",https://image.tmdb.org/t/p/original/kAU8CSAY5aCS91dSD5oky5TZcJU.jpg
10193,Toy Story 3,"[16, 10751, 35]",https://image.tmdb.org/t/p/original/pb547eLMX6XBV5U98BSGRYmM2VW.jpg
118,Charlie y la fábrica de chocolate,"[12, 35, 10751, 14]",https://image.tmdb.org/t/p/original/voJEk0WNtrcawz2hN9AwdNbvhrp.jpg
10020,La bella y la bestia,"[10749, 10751, 16, 14]",https://image.tmdb.org/t/p/original/1FxMtEUc6DP1MXsTBftOFaoCVVO.jpg
49013,Cars 2,"[16, 10751, 12, 35]",https://image.tmdb.org/t/p/original/eQo1LQs5Vo9RHVHYUhNSfMZa3VB.jpg
12155,Alicia en el País de las Maravillas,"[10751, 14, 12]",https://image.tmdb.org/t/p/original/lTL10rosTEhOZp8E3zoniXddyRC.jpg
10674,Mulán,"[16, 10751, 12]",https://image.tmdb.org/t/p/original/towmTJ0k29quKI9IDnOZKAAtQx.jpg
12,Buscando a Nemo,"[16, 10751]",https://image.tmdb.org/t/p/original/jPhak722pNGxQIXSEfeWIUqBrO5.jpg
10681,WALL·E: Batallón de limpieza,"[16, 10751, 878]",https://image.tmdb.org/t/p/original/m3gKwcubqhN8J7pLcMcCDY1YJLJ.jpg
10144,La sirenita,"[16, 10751, 14]",https://image.tmdb.org/t/p/original/Vc0KvO7z2OzEbRs6nyZs9xD81s.jpg
11688,El emperador y sus locuras,"[12, 16, 35, 10751, 14]",https://image.tmdb.org/t/p/original/gkTTj0dKDVGXvZwxa0KpCWcA6k4.jpg
11224,La Cenicienta,"[10751, 14, 16, 10749]",https://image.tmdb.org/t/p/original/5kqNkGE5PFt4EOloc90LMUoXqxb.jpg
1030076,Padre no hay más que uno 4: Campanas de boda,"[10751, 35]",https://image.tmdb.org/t/p/original/bDXDvPQYvnh8OKA5qJEAvHtfUp6.jpg
260514,Cars 3,"[10751, 16, 12, 35]",https://image.tmdb.org/t/p/original/4tp9W3QAbQcpanBtBceZtHD10UT.jpg
454626,Sonic: La película,"[28, 878, 35, 10751]",https://image.tmdb.org/t/p/original/rK25c71fYVi0Bv7RrTChK7NAQjC.jpg
